Name,Country,priority_rank,area_km2,percentage_protected,mean_HII,priority_set
Silhouette National Park,Seychelles,1,3.43,0,NA,1
Nid d'Aigle (ridge and eastern slopes),Seychelles,1,3.43,0,NA,1
Onei Island,"Micronesia, Federated States of",3,3.41,0,16.07,1
Cerro del Mono,Guatemala,3,19.95,83.33,20.88,1
Polle Island,"Micronesia, Federated States of",5,3.41,0,14,1
Val d'Endor,Seychelles,5,3.43,0,NA,1
Sapore,"Micronesia, Federated States of",7,3.41,0,14,1
Tonoas Forest,"Micronesia, Federated States of",7,3.41,0,15.21,1
Christmas Island,Christmas Island (to Australia),9,3.38,0,20.03,1
South Weno Ridge,"Micronesia, Federated States of",9,6.83,0,20.59,1
Isla Mocha,Chile,11,45.88,88.23,15.77,1
Teraina Marine,Kiribati,12,6.86,0,11.59,1
Grand Anse-Petite Anse-Fond Piment,Seychelles,12,3.43,0,NA,1
Ankafobe NPA,Madagascar,14,9.81,0,16.16,1
General Davis Cave,USA,15,10.89,25,27.32,1
Main Chatham,New Zealand,16,2.48,0,NA,1
Cerro Socopo,Venezuela,17,74.47,90.91,14.5,1
Fond Diable and Pointe Joséphine,Seychelles,17,3.43,0,NA,1
Parque Nacional Archipiélago de Juan Fernández: Islas Robinson Crusoe and Santa Clara,Chile,19,42.99,93.34,NA,1
La Veuve Special Reserve,Seychelles,19,3.43,0,NA,1
Mount Winipot / Tol South,"Micronesia, Federated States of",21,10.24,0,14.33,1
1 km west of Loja,Ecuador,22,13.74,0,41.26,1
Pilaló,Ecuador,23,13.77,25,19.19,1
South and North Gigante Island,Philippines,24,3.37,0,12.85,1
East Plana Key,Bahamas,24,3.18,0,4,1
Anibare Bay Escarpment,Nauru,26,3.44,0,20,1
Fefan Forest,"Micronesia, Federated States of",27,6.83,0,14,1
Félicité Island,Seychelles,28,3.43,0,NA,1
Aitutaki,Cook Islands,29,9.77,0,17.42,1
Cajas-Mazán,Ecuador,30,360.99,91.43,24.57,1
Hatuta'a Marine,French Polynesia,31,27.27,0,0,1
Silhouette Marine National Park,Seychelles,32,10.3,0,NA,1
Farellones 1,Chile,33,46,0,7.07,1
Trindade e Martim Vaz,Brazil,34,6.45,0,NA,1
Mount Iboundji,Gabon,35,20.65,0,5,1
Pentes du mont Hiro de Raivavae,French Polynesia,36,6.3,0,20.8,1
"Guaranda, Gallo Rumi",Ecuador,37,48.17,0,27.91,1
Praslin National Park,Seychelles,38,17.16,0,NA,1
Wichap-Einup-Peitiw-Nukanap Marine,"Micronesia, Federated States of",39,10.24,0,25.62,1
Northwestern Hawaiian Islands,USA,40,9.17,33.82,NA,1
Sage Mountain Area,Virgin Islands (to UK),41,19.6,16.67,39.46,1
Mandele Dry Forest,St Lucia,42,16.71,60,33.32,1
Arquipélago de Fernando de Noronha,Brazil,43,17.17,0,NA,1
Nakiyadeniya / Kanneliya / Dediyagala,Sri Lanka,44,109.51,93.75,22.94,1
Inaccessible Island,St Helena (to UK),45,13.69,0,NA,1
Black River Gorges National Park and surrounding areas,Mauritius,46,125.8,97.44,18.39,1
La Misère-Dauban area: La Misère,Seychelles,47,6.86,0,NA,1
Reserva de Biósfera Seaflower,Colombia,48,40.27,33.27,27.08,1
Cocos Island,Costa Rica,49,20.56,0,NA,1
El Rosario-Palo Mocho - La Totonquera,Mexico,50,26.07,0,26.56,1
Torotorofotsy Wetlands,Madagascar,51,6.51,0,13.87,1
Lago de Las Minas,Mexico,52,55.19,0,18.21,1
Pueblo Nuevo,Mexico,53,32.91,0,23.71,1
Mount Kupe,Cameroon,54,17.15,0,14.2,1
Kerlan River,Seychelles,55,6.87,50,NA,1
Raivavae,French Polynesia,56,6.3,0,17.87,1
Niau,French Polynesia,57,33.06,0,4.71,1
Jozani Chwaka Bay National Park,Tanzania,58,20.53,0,20.29,1
Northern Saipan,Northern Mariana Islands (to USA),59,13.28,0,42.72,1
Topachau-Susupe-Kagman,Northern Mariana Islands (to USA),60,56.48,23.53,48.47,1
"Firmihin near Jabal Keseslah, Socotra",Yemen,61,36.97,0,14.87,1
Cañada de la Hermita,Mexico,62,38.92,50,33.45,1
Amboli Forest,India,63,13.24,0,19.25,1
Azuay Basin,Ecuador,64,6.88,0,18.9,1
Rotuma,Fiji,65,33.61,0,18,1
Dame Marie,Haiti,66,19.58,0,29.23,1
Nightingale Island group,St Helena (to UK),67,2.73,0,NA,1
Archipiélago San José,Mexico,68,165.34,98.12,4,1
Loreto,Ecuador,69,30.98,0,11.64,1
Mona and Monito,Puerto Rico (to USA),70,49.08,0,13.85,1
Kombala-Kottawa,Sri Lanka,71,68.46,30,28.55,1
Kauehi Marine,French Polynesia,72,16.56,0,4.76,1
Ogea,Fiji,73,13.01,0,NA,1
